{l ian2 l uo41 r en2} {x iang4 p ian4}, {m a1 m a1}, {b ei3} {ch ai2} {q i2}.	{l ian1 l uo41 r en2} {x iang4 p ian4}. {m a1 m a1}. {b ei3} {ch ai2} {q i2}.	0	0	0
{x van31 z e2} {b o1} {j ie1} {d ian4 h ua4} {sh iy2} {v41} {x ian3 sh iy4} {d e5}, {x iang4 p ian4} {h uo41} {ing3 p ian4}.	{x van31 z e2} {b o1} {j ie1} {d ian4 h ua4} {sh iy2} {v41} {x ian3 sh iy4} {d e5}. {x iang4 p ian4} {h uo41} {ing3 p ian4}.	0	0	0
{l ian2 j ie1} {er3 j i1} {h uo41} {l an2 ia2} {zh uang1 zh iy4} {sh iy2}, {r uo41} {v2} {sh e4 d ing4} {sh iy2 j ian1} {h ou4} {l ai2 d ian4}, {j iang1} {z ix4 d ong4} {j ie1 t ing1}.	{l ian2 j ie1} {er3 j i1} {h uo41} {l an2 ia2} {zh uang1 zh iy4} {sh iy2}. {r uo41} {v2} {sh e4 d ing4} {sh iy2 j ian1} {h ou4} {l ai2 d ian4}. {j iang1} {z ix4 d ong4} {j ie1 t ing1}.	0	0	0
{ES EIY1}.	{s EIY1}.	0	0	0
{EZ EIY1}.	{z EIY1}.	0	0	0
{EJH EIY1}.	{EJH EIY1}.	50	0	0
{EEH1 EM}.	{EEH1 EM EM}.	0	0	0
{EEH1 EN}.	{EEH1 n}.	0	0	0
{EEY1}.	{EEY1 ED}.	100	0	0
{EIY1}.	{EIH1 EEY1}.	0	0	0
{EAY1}.	{EAY1 EAY1}.	0	0	0
{EOW1}.	{EOW1 EOW1}.	0	0	0
{EEH1 EK ES}.	{EEH1 EK ES ES}.	0	0	0
{EB EIY1}.	{EB EIY1}.	50	0	0
{EJH EIY1}.	{EJH EIY1}.	50	0	0
{EAA1 ER}.	{EAA1 ER ER}.	0	0	0
{EV EIY1}.	{EV EV EIY1}.	0	0	0